#
# calcerr - error codes and messages
#
# Copyright (C) 1999-2006  Ernest Bowen
#
# Calc is open software; you can redistribute it and/or modify it under
# the terms of the version 2.1 of the GNU Lesser General Public License
# as published by the Free Software Foundation.
#
# Calc is distributed in the hope that it will be useful, but WITHOUT
# ANY WARRANTY; without even the implied warranty of MERCHANTABILITY
# or FITNESS FOR A PARTICULAR PURPOSE.	See the GNU Lesser General
# Public License for more details.
#
# A copy of version 2.1 of the GNU Lesser General Public License is
# distributed with calc under the filename COPYING-LGPL.  You should have
# received a copy with calc; if not, write to Free Software Foundation, Inc.
# 51 Franklin Street, Fifth Floor, Boston, MA  02110-1301, USA.
#
# Under source code control:	1996/05/23 17:38:44
# File existed as early as:	1996
#
# Share and enjoy!  :-)		http://www.isthe.com/chongo/tech/comp/calc/

# This file is used to build calcerr.h include file.
#
# Lines should be of the form:
#
#	SYMBOL	meaning

######################################################################
# WARNING: The order of the lines below is critical!  If you change  #
#	   the order, you will break code that depends on the return #
#	   value of the errno() builtin function.		     #
#								     #
#	   If you need to add values to this table, ONLY add then    #
#	   to the bottom of the file!				     #
######################################################################


E_1OVER0	Division by zero
E_0OVER0	Indeterminate (0/0)
E_ADD		Bad arguments for +
E_SUB		Bad arguments for binary -
E_MUL		Bad arguments for *
E_DIV		Bad arguments for /
E_NEG		Bad argument for unary -
E_SQUARE	Bad argument for squaring
E_INV		Bad argument for inverse
E_INCV		Bad argument for ++
E_DECV		Bad argument for --
E_INT		Bad argument for int
E_FRAC		Bad argument for frac
E_CONJ		Bad argument for conj
E_APPR		Bad first argument for appr
E_APPR2		Bad second argument for appr
E_APPR3		Bad third argument for appr
E_ROUND		Bad first argument for round
E_ROUND2	Bad second argument for round
E_ROUND3	Bad third argument for round
E_BROUND	Bad first argument for bround
E_BROUND2	Bad second argument for bround
E_BROUND3	Bad third argument for bround
E_SQRT		Bad first argument for sqrt
E_SQRT2		Bad second argument for sqrt
E_SQRT3		Bad third argument for sqrt
E_ROOT		Bad first argument for root
E_ROOT2		Bad second argument for root
E_ROOT3		Bad third argument for root
E_NORM		Bad argument for norm
E_SHIFT		Bad first argument for << or >>
E_SHIFT2	Bad second argument for << or >>
E_SCALE		Bad first argument for scale
E_SCALE2	Bad second argument for scale
E_POWI		Bad first argument for ^
